iter	Passed	Remaining
862	20686	27253
863	20709	27229
864	20732	27203
865	20755	27178
866	20777	27152
867	20800	27127
868	20822	27100
869	20847	27077
870	20869	27050
871	20892	27025
872	20915	27000
873	20937	26974
874	20961	26951
875	20982	26923
876	21004	26895
877	21028	26872
878	21052	26848
879	21075	26823
880	21099	26799
881	21123	26775
882	21146	26750
883	21171	26727
884	21194	26702
885	21217	26677
886	21241	26653
887	21265	26629
888	21288	26605
889	21311	26579
890	21335	26555
891	21358	26531
892	21381	26505
893	21403	26478
894	21424	26451
895	21447	26425
896	21469	26400
897	21492	26375
898	21514	26349
899	21537	26323
900	21561	26299
901	21582	26272
902	21604	26246
903	21627	26221
904	21650	26195
905	21672	26170
906	21696	26146
907	21719	26120
908	21741	26095
909	21765	26071
910	21788	26045
911	21811	26020
912	21835	25996
913	21859	25973
914	21882	25948
915	21904	25921
916	21927	25897
917	21951	25872
918	21973	25846
919	21997	25822
920	22020	25798
921	22042	25772
922	22065	25747
923	22087	25721
924	22111	25697
925	22136	25674
926	22160	25650
927	22182	25624
928	22204	25598
929	22227	25574
930	22254	25553
931	22279	25530
932	22301	25504
933	22325	25480
934	22350	25458
935	22373	25432
936	22396	25408
937	22421	25385
938	22444	25360
939	22467	25336
940	22491	25311
941	22515	25287
942	22538	25262
943	22563	25240
944	22588	25218
945	22614	25196
946	22639	25173
947	22662	25149
948	22685	25123
949	22709	25100
950	22732	25075
951	22755	25050
952	22778	25025
953	22802	25001
954	22827	24978
955	22851	24954
956	22873	24929
957	22895	24903
958	22918	24878
959	22942	24854
960	22966	24830
961	22989	24805
962	23012	24780
963	23035	24755
964	23057	24730
965	23081	24705
966	23102	24678
967	23126	24655
968	23148	24629
969	23172	24605
970	23194	24579
971	23217	24555
972	23242	24532
973	23267	24509
974	23290	24484
975	23313	24459
976	23334	24433
977	23359	24410
978	23383	24387
979	23406	24362
980	23427	24334
981	23451	24311
982	23476	24288
983	23499	24263
984	23522	24239
985	23545	24214
986	23568	24189
987	23590	24163
988	23612	24137
989	23636	24113
990	23660	24090
991	23686	24068
992	23710	24045
993	23735	24022
994	23760	23999
995	23784	23975
996	23810	23954
997	23833	23929
998	23856	23904
999	23879	23879
1000	23903	23855
1001	23926	23831
1002	23951	23807
1003	23973	23782
1004	23994	23756
1005	24017	23731
1006	24040	23706
1007	24065	23683
1008	24092	23662
1009	24116	23638
1010	24139	23613
1011	24162	23589
1012	24185	23564
1013	24208	23539
1014	24232	23515
1015	24256	23492
1016	24281	23469
1017	24304	23445
1018	24326	23419
1019	24348	23393
1020	24370	23368
1021	24394	23343
1022	24418	23320
1023	24442	23297
1024	24465	23272
1025	24489	23248
1026	24511	23222
1027	24536	23199
1028	24558	23173
1029	24580	23148
1030	24605	23125
1031	24628	23101
1032	24650	23075
1033	24673	23051
1034	24699	23028
1035	24721	23003
1036	24745	22979
1037	24769	22955
1038	24795	22933
1039	24823	22914
1040	24848	22891
1041	24872	22867
1042	24898	22845
1043	24922	22821
1044	24947	22798
1045	24971	22775
1046	24997	22753
1047	25023	22731
1048	25049	22709
1049	25074	22686
1050	25098	22662
1051	25122	22638
1052	25144	22613
1053	25166	22588
1054	25191	22564
1055	25217	22543
1056	25244	22522
1057	25270	22499
1058	25296	22477
1059	25322	22455
1060	25347	22433
1061	25373	22410
1062	25398	22387
1063	25422	22364
1064	25448	22342
1065	25472	22318
1066	25496	22294
1067	25518	22269
1068	25543	22245
1069	25569	22223
1070	25593	22200
1071	25618	22176
1072	25644	22155
1073	25667	22130
1074	25692	22107
1075	25717	22084
1076	25744	22062
1077	25769	22040
1078	25795	22018
1079	25821	21995
1080	25844	21971
1081	25867	21946
1082	25890	21921
1083	25913	21897
1084	25936	21872
1085	25958	21847
1086	25982	21823
1087	26006	21799
1088	26029	21774
1089	26052	21750
1090	26076	21726
1091	26100	21702
1092	26122	21676
1093	26145	21652
1094	26170	21629
1095	26193	21605
1096	26219	21582
1097	26244	21559
1098	26266	21533
1099	26287	21507
1100	26312	21484
1101	26334	21459
1102	26358	21435
1103	26381	21411
1104	26403	21386
1105	26425	21360
1106	26448	21335
1107	26471	21311
1108	26493	21285
1109	26516	21260
1110	26538	21235
1111	26562	21211
1112	26583	21185
1113	26605	21160
1114	26628	21135
1115	26651	21110
1116	26673	21086
1117	26697	21062
1118	26719	21036
1119	26744	21013
1120	26768	20989
1121	26793	20966
1122	26816	20942
1123	26838	20916
1124	26861	20892
1125	26884	20867
1126	26906	20842
1127	26960	20841
1128	26984	20818
1129	27005	20791
1130	27024	20764
1131	27046	20738
1132	27066	20712
1133	27087	20686
1134	27110	20661
1135	27131	20635
1136	27154	20610
1137	27178	20586
1138	27204	20564
1139	27227	20540
1140	27251	20516
1141	27274	20491
